x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
-0.422852,-0.097412,-1.366455,-5.508422,2.960205,-5.249023,stones
-0.190674,0.010742,-1.118652,-7.965087,0.640869,-4.852295,stones
-0.076904,-0.056885,-1.050293,-10.81848,0.976562,-4.043579,stones
-0.012451,-0.105713,-0.892578,-9.20105,1.602173,-3.311157,stones
0.00293,-0.110352,-0.851318,-7.080078,3.128052,-3.829956,stones
0.02832,-0.093506,-0.930908,-4.776001,4.272461,-5.630493,stones
-0.015869,-0.059082,-0.923828,-3.479004,4.852295,-7.186889,stones
-0.09375,-0.04248,-1.009766,-3.616333,5.249023,-7.476806,stones
-0.136963,-0.008301,-1.03418,-3.14331,5.096435,-7.659912,stones
-0.070068,-0.030029,-1.024414,-2.960205,5.050659,-7.843017,stones
-0.131348,-0.077148,-0.904297,-2.563476,5.355834,-7.583618,stones
-0.046875,-0.118164,-0.853271,-3.555298,5.203247,-6.729125,stones
-0.162354,-0.112793,-0.954346,-1.220703,5.523681,-7.04956,stones
-0.133789,-0.15332,-1.001465,0.411987,4.394531,-7.476806,stones
-0.123291,-0.077637,-1.000488,0.488281,3.540039,-6.759643,stones
-0.100342,-0.125488,-0.908691,0.366211,4.257202,-6.179809,stones
-0.077637,-0.068604,-1.036621,2.27356,5.0354,-5.676269,stones
-0.108643,-0.10498,-1.133301,2.578735,3.982544,-4.577637,stones
-0.19458,-0.055664,-1.094727,1.434326,2.63977,-3.494262,stones
-0.124023,-0.059326,-1.068604,0.015259,1.953125,-4.150391,stones
-0.043213,-0.063965,-1.006348,0.305176,1.708984,-3.555298,stones
-0.056885,-0.134766,-1.026123,-1.220703,1.846313,-1.968384,stones
-0.082031,-0.092285,-1.050781,-1.342773,1.770019,-1.663208,stones
-0.067383,-0.078613,-1.014893,-2.670288,1.174927,-2.365112,stones
0.012451,-0.138916,-0.981445,-2.807617,0.671387,-2.502441,stones
-0.06543,-0.192871,-0.943604,-2.304077,1.754761,-1.846313,stones
-0.146484,-0.180664,-1.013184,-1.983642,1.00708,-1.251221,stones
-0.145508,-0.113281,-1.015137,-0.427246,-0.335693,-1.098633,stones
-0.05835,-0.124512,-0.980469,-1.663208,-1.144409,-2.13623,stones
-0.06958,-0.123535,-0.9729,-0.518799,-1.144409,-2.89917,stones
-0.057861,-0.112305,-1.003174,-0.030518,-1.144409,-2.944946,stones
-0.03125,-0.12085,-0.979736,-0.411987,-0.518799,-2.975464,stones
-0.081055,-0.103516,-0.97998,-0.045776,0.671387,-1.907349,stones
-0.101807,-0.114014,-1.04126,0.076294,1.571655,-1.113892,stones
-0.093262,-0.10791,-0.951172,-0.732422,1.754761,-1.419067,stones
-0.089111,-0.125244,-0.976807,0.198364,0.991821,-2.044678,stones
-0.040771,-0.089844,-1.005127,0.411987,0.183105,-3.204345,stones
-0.043213,-0.040283,-1.025391,0.50354,0.152588,-4.516602,stones
-0.002686,-0.052246,-1.036865,-0.198364,0.335693,-6.256103,stones
-0.06543,-0.129639,-1.003906,-0.671387,0.274658,-5.752563,stones
-0.144043,-0.124268,-0.998291,0.488281,0.686645,-4.592896,stones
-0.086914,-0.102295,-1.018555,-0.366211,0.671387,-5.828857,stones
-0.07373,-0.140381,-1.110352,0.320435,-0.137329,-5.889892,stones
-0.08252,-0.135254,-1.064453,1.38855,-0.976562,-5.020141,stones
-0.099121,-0.096436,-0.987061,-1.159668,-1.312256,-4.959106,stones
-0.061035,-0.068359,-0.991943,-1.312256,-1.556396,-5.203247,stones
-0.013428,-0.108398,-0.993164,-0.305176,-1.770019,-5.355834,stones
-0.093506,-0.0979,-0.980225,-0.320435,-1.907349,-7.034301,stones
-0.044678,-0.071533,-0.990234,-0.854492,-3.250122,-7.278442,stones
-0.01123,-0.111572,-0.96167,-0.579834,-2.853393,-6.896972,stones
-0.09668,-0.128174,-0.851074,-0.747681,-1.373291,-7.568359,stones
-0.036865,-0.136963,-1.008301,1.312256,-1.556396,-8.682251,stones
-0.033447,-0.108643,-0.928711,2.334595,-1.983642,-9.735107,stones
-0.010742,-0.195801,-0.913574,1.876831,-1.678467,-10.086059,stones
-0.051025,-0.106201,-0.915283,4.226685,0.717163,-9.94873,stones
-0.097656,-0.116211,-1.075439,4.348755,0.610352,-9.841919,stones
-0.073975,-0.099609,-1.124023,6.500244,0.427246,-9.368896,stones
-0.171631,-0.042969,-1.139648,4.684448,0.167847,-9.796143,stones
-0.058105,-0.008789,-1.060059,2.227783,-1.617432,-9.963989,stones
0.012451,-0.021484,-0.983398,1.602173,-1.174927,-9.429932,stones
-0.0979,-0.081055,-0.989746,0.62561,-0.289917,-9.796143,stones
-0.032959,-0.113037,-0.96167,0.869751,-0.427246,-9.460449,stones
-0.075195,-0.116455,-0.913086,0.900268,-0.228882,-8.544922,stones
-0.147705,-0.169922,-0.901611,2.410889,-1.174927,-8.239746,stones
-0.02124,-0.141846,-0.983154,3.814697,-1.480102,-7.995605,stones
-0.069824,-0.135498,-0.992432,4.196167,0.061035,-9.063721,stones
-0.072754,-0.12085,-1.005859,3.662109,0.62561,-9.643555,stones
-0.090088,-0.158691,-1.081055,4.364014,0.518799,-9.460449,stones
-0.158447,-0.184082,-1.18042,5.401611,-0.274658,-8.377075,stones
-0.087158,-0.117188,-1.091309,3.555298,-0.549316,-6.652832,stones
-0.11084,-0.201904,-1.039551,2.990722,-0.12207,-5.142211,stones
-0.079102,-0.199463,-1.041992,4.592896,0.167847,-3.90625,stones
-0.060303,-0.178223,-0.946289,5.554199,-0.366211,-2.929687,stones
-0.06665,-0.082275,-1.01416,4.150391,-0.50354,-2.334595,stones
-0.047852,-0.114014,-1.048584,4.104614,-1.495361,-3.067016,stones
-0.00708,-0.163818,-1.046875,3.341675,-1.235962,-2.777099,stones
-0.075684,-0.12085,-1.004639,2.334595,-0.686645,-2.044678,stones
-0.049316,-0.131592,-0.973145,0.595093,-0.991821,-1.739502,stones
-0.047607,-0.14624,-1.018555,0.518799,-1.373291,-2.63977,stones
-0.082764,-0.133057,-1.023926,1.876831,-2.456665,-3.250122,stones
-0.055176,-0.129395,-1.056152,-0.030518,-3.64685,-2.975464,stones
0.046387,-0.0979,-1.032715,0.305176,-3.631592,-3.326416,stones
-0.051025,-0.083008,-0.946045,0.289917,-3.982544,-4.02832,stones
-0.041992,-0.079834,-1.025391,-1.220703,-4.714966,-5.0354,stones
0.017578,-0.015869,-0.997314,-0.717163,-4.852295,-6.271362,stones
-0.083252,-0.046875,-0.978516,-2.288818,-4.837036,-7.93457,stones
-0.005615,-0.003662,-0.95874,-2.700805,-5.53894,-9.567261,stones
-0.030762,0.031982,-1.021729,-3.860473,-5.203247,-11.367797,stones
-0.084961,0.059326,-1.008057,-4.394531,-5.249023,-12.725829,stones
-0.093994,0.000488,-1.008057,-5.371093,-5.645751,-14.251708,stones
-0.043457,0.044434,-0.985352,-6.66809,-5.767822,-15.655517,stones
0.037598,0.049805,-0.902832,-8.026123,-4.592896,-16.571045,stones
-0.049805,0.055908,-0.9021,-8.69751,-2.502441,-16.876221,stones
-0.088135,0.050537,-1.047852,-9.44519,-2.197266,-17.272949,stones
-0.09082,0.029785,-1.005127,-8.773804,-0.991821,-18.615723,stones
-0.032471,-0.026367,-0.964111,-8.895874,0.62561,-20.1416,stones
0.002197,-0.011963,-0.972656,-7.797241,1.953125,-18.90564,stones
-0.104492,-0.02832,-0.930664,-5.66101,4.165649,-16.921997,stones
-0.116211,-0.036621,-0.957275,-4.119873,5.111694,-17.410278,stones
-0.038574,-0.053711,-0.868652,-1.968384,4.821777,-17.532349,stones
-0.089844,-0.044434,-0.878174,-0.305176,5.477905,-16.815186,stones
-0.170654,-0.090332,-0.950684,1.724243,5.676269,-16.220093,stones
-0.212158,-0.109863,-0.94751,3.738403,4.272461,-15.579223,stones
-0.068848,-0.032471,-0.890381,4.714966,3.250122,-15.274047,stones
-0.075928,-0.003906,-0.938721,4.943848,3.387451,-14.617919,stones
-0.02124,-0.031738,-0.992188,4.776001,3.890991,-12.863158,stones
-0.146729,-0.141602,-1.037109,5.477905,4.272461,-12.527465,stones
-0.128418,-0.118408,-1.026855,6.561279,3.387451,-11.306762,stones
-0.126953,-0.124756,-1.011719,7.522583,3.585815,-10.528563,stones
-0.095703,-0.164795,-1.029297,8.361816,3.509521,-9.536743,stones
-0.164795,-0.163574,-1.018799,9.124756,3.356933,-7.43103,stones
-0.10083,-0.143799,-1.024414,9.857178,2.655029,-5.554199,stones
-0.099854,-0.158691,-1.076904,11.474608,3.555298,-5.432128,stones
-0.092773,-0.140625,-1.056641,10.95581,3.662109,-5.676269,stones
-0.068359,-0.204834,-1.065918,10.055541,3.036499,-3.875732,stones
-0.177002,-0.185059,-1.108398,11.505126,3.601074,-2.258301,stones
-0.087646,-0.150635,-1.086914,10.95581,3.234863,-1.815796,stones
-0.035645,-0.138428,-1.112549,9.338379,3.90625,-1.022339,stones
-0.170654,-0.102539,-1.026611,7.736206,3.829956,-0.167847,stones
-0.087402,-0.161621,-1.042725,5.966186,2.593994,0.549316,stones
-0.128906,-0.177979,-1.076416,5.828857,3.204345,1.098633,stones
-0.0979,-0.152588,-1.035889,3.448486,2.868652,1.296997,stones
-0.08252,-0.174316,-0.971191,2.441406,2.731323,2.288818,stones
-0.067871,-0.203369,-0.97876,2.655029,1.831055,2.944946,stones
-0.06543,-0.160889,-0.941406,2.304077,0.564575,1.663208,stones
-0.02417,-0.152588,-0.944824,1.235962,0.0,0.518799,stones
-0.003906,-0.157471,-1.008545,1.831055,0.228882,0.793457,stones
0.047119,-0.175537,-1.026367,1.464844,2.212524,0.671387,stones
-0.039307,-0.158203,-1.017334,0.823975,4.180908,-0.717163,stones
-0.04541,-0.106934,-0.991699,0.579834,3.90625,-1.693725,stones
-0.09082,-0.115967,-1.003174,0.213623,4.684448,-1.770019,stones
-0.118408,-0.106201,-1.034668,-0.823975,5.41687,-2.27356,stones
-0.091309,-0.143066,-0.976563,-0.228882,5.279541,-2.487183,stones
-0.071289,-0.133545,-0.94165,-0.076294,5.264282,-1.358032,stones
-0.146484,-0.214844,-1.000977,0.106812,5.081176,-0.62561,stones
-0.108154,-0.176758,-0.926514,2.029419,3.433227,-0.030518,stones
-0.157471,-0.188965,-0.897705,2.746582,1.296997,-0.259399,stones
0.001709,-0.180908,-0.958984,3.692627,-0.305176,0.274658,stones
-0.047119,-0.086426,-0.947998,4.486084,0.564575,0.534058,stones
0.0271,-0.139893,-1.003662,4.730225,0.640869,0.991821,stones
-0.005859,-0.171387,-1.059814,7.400512,1.678467,1.953125,stones
-0.093262,-0.12915,-0.996826,6.698608,2.349854,1.754761,stones
-0.072266,-0.105713,-1.106445,4.013062,2.5177,1.922607,stones
-0.070068,-0.140137,-1.123779,4.165649,2.746582,2.01416,stones
-0.105713,-0.199951,-1.054688,3.875732,3.02124,2.532959,stones
-0.083984,-0.153564,-0.945068,2.578735,2.731323,3.341675,stones
-0.086914,-0.162354,-0.955811,3.311157,2.334595,3.814697,stones
-0.094971,-0.194824,-0.942383,3.356933,1.068115,3.494262,stones
0.001221,-0.222168,-0.856934,3.692627,0.442505,3.845215,stones
-0.027588,-0.180664,-0.916504,5.050659,1.281738,3.753662,stones
-0.106934,-0.198486,-0.927734,6.408691,1.38855,3.64685,stones
-0.028076,-0.2229,-1.010986,7.781982,0.289917,3.90625,stones
-0.026123,-0.16748,-1.119873,7.995605,0.518799,3.631592,stones
-0.029297,-0.116211,-1.046875,7.385253,1.068115,2.304077,stones
-0.046387,-0.10376,-1.052734,4.501343,1.296997,1.083374,stones
-0.069336,-0.112549,-1.08374,2.243042,1.63269,1.251221,stones
-0.130615,-0.165527,-1.137695,1.449585,1.739502,1.678467,stones
-0.134277,-0.226807,-1.064697,-0.061035,2.059937,3.845215,stones
-0.163574,-0.19165,-0.981934,-1.083374,1.800537,5.172729,stones
-0.13501,-0.249023,-0.965088,-0.518799,0.427246,3.875732,stones
-0.0354,-0.285645,-0.946533,0.976562,-0.610352,2.182007,stones
0.00293,-0.296875,-0.922607,1.861572,-0.640869,1.739502,stones
-0.054932,-0.243652,-0.954346,2.960205,-0.473022,1.068115,stones
0.000977,-0.200684,-1.001953,2.731323,-0.656128,-0.534058,stones
-0.031982,-0.264648,-1.006592,3.173828,-0.457764,-2.182007,stones
-0.066895,-0.208252,-0.944336,3.52478,-0.854492,-2.624511,stones
-0.041992,-0.175049,-1.030029,2.27356,-0.991821,-2.883911,stones
-0.041016,-0.192383,-1.068359,3.280639,-0.762939,-4.257202,stones
0.00293,-0.240967,-1.007568,2.914428,-0.610352,-5.065917,stones
-0.045654,-0.190918,-0.991455,2.990722,-0.320435,-5.66101,stones
