x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
-0.030762,-0.309326,-0.946045,4.714966,1.235962,-9.552002,grass
-0.04541,-0.311523,-0.961426,4.669189,0.88501,-9.124756,grass
-0.048096,-0.320557,-0.967285,4.669189,0.473022,-8.651733,grass
-0.067383,-0.318848,-0.949219,4.669189,0.12207,-7.93457,grass
-0.048584,-0.320068,-0.950439,4.547119,-0.335693,-6.622314,grass
-0.046631,-0.324219,-0.964111,4.837036,-0.534058,-5.15747,grass
-0.071777,-0.330811,-0.959229,5.096435,-0.671387,-3.982544,grass
-0.07959,-0.32959,-0.952881,5.065917,-1.144409,-3.097534,grass
-0.079834,-0.333496,-0.957764,4.959106,-1.815796,-2.532959,grass
-0.073242,-0.341064,-0.955078,4.653931,-2.410889,-2.166748,grass
-0.068848,-0.352783,-0.954102,4.394531,-2.593994,-1.815796,grass
-0.069336,-0.350586,-0.956787,4.226685,-2.502441,-1.464844,grass
-0.073486,-0.352783,-0.957275,3.997802,-2.441406,-1.083374,grass
-0.073486,-0.351318,-0.960938,3.890991,-2.13623,-0.701904,grass
-0.077393,-0.349121,-0.968018,3.601074,-1.89209,-0.259399,grass
-0.079346,-0.351074,-0.967285,3.387451,-1.647949,0.152588,grass
-0.074219,-0.349854,-0.963379,3.067016,-1.358032,0.579834,grass
-0.074463,-0.349121,-0.962646,2.578735,-1.00708,1.113892,grass
-0.071289,-0.347168,-0.965576,2.13623,-0.671387,1.480102,grass
-0.069336,-0.348877,-0.966064,1.754761,-0.411987,1.953125,grass
-0.071045,-0.35498,-0.962891,1.281738,-0.12207,2.471924,grass
-0.069092,-0.360596,-0.959717,1.113892,0.015259,2.822876,grass
-0.066406,-0.373779,-0.951172,0.915527,0.274658,3.219604,grass
-0.059082,-0.389648,-0.940186,0.778198,0.564575,3.311157,grass
-0.053467,-0.420166,-0.935791,0.915527,0.915527,3.189087,grass
-0.057373,-0.413818,-0.928711,1.38855,1.266479,3.341675,grass
-0.056396,-0.409668,-0.928711,1.907349,1.586914,3.219604,grass
-0.05957,-0.40332,-0.923584,2.166748,1.831055,3.341675,grass
